Time,Signal1,Signal2,Replicate,Expression
0,0,0,1,0.0159124191012736
0,0,0,2,0.0155625403193567
0,0,0,3,0.0156346307350242
0,0,0,4,0.0161836406434132
0,0,0,5,0.0160525264916482
0,0,0.01,1,0.0168619786095773
0,0,0.01,2,0.0168192486286043
0,0,0.01,3,0.017278558030104
0,0,0.01,4,0.0169772395265763
0,0,0.01,5,0.0167711747134155
0,0,0.02,1,0.0168184316635998
0,0,0.02,2,0.0169380290338735
0,0,0.02,3,0.0165593142613382
0,0,0.02,4,0.0166147856878753
0,0,0.02,5,0.0164960903101579
0,0,0.05,1,0.0168736208143412
0,0,0.05,2,0.0166958173402546
0,0,0.05,3,0.0169155871540212
0,0,0.05,4,0.0163489195382322
0,0,0.05,5,0.0165113924079113
0,0,0.1,1,0.0170806874652125
0,0,0.1,2,0.0168577710027589
0,0,0.1,3,0.0172464954434188
0,0,0.1,4,0.0171111687498814
0,0,0.1,5,0.0167539086055964
0,0,0.2,1,0.016932807069927
0,0,0.2,2,0.0167312941236587
0,0,0.2,3,0.0166544416002188
0,0,0.2,4,0.0164357081135621
0,0,0.2,5,0.0169687607790213
0,0,0.5,1,0.0169958688451442
0,0,0.5,2,0.016683347365188
0,0,0.5,3,0.0167090142136964
0,0,0.5,4,0.016827480615192
0,0,0.5,5,0.0170327480446755
0,0,1,1,0.0163318677737864
0,0,1,2,0.0167185578165305
0,0,1,3,0.0169407510704624
0,0,1,4,0.016945185247536
0,0,1,5,0.017021768607406
0,0,2,1,0.0168575860268923
0,0,2,2,0.0166554192547687
0,0,2,3,0.0165644519493093
0,0,2,4,0.0172031759407036
0,0,2,5,0.0169768020916579
0,0,5,1,0.0170729307285103
0,0,5,2,0.0172236524657321
0,0,5,3,0.0167988759847407
0,0,5,4,0.01665214920441
0,0,5,5,0.0168369073695793
0,0.01,0,1,0.0161412162661224
0,0.01,0,2,0.015377234944373
0,0.01,0,3,0.0162170109051839
0,0.01,0,4,0.0154026128351991
0,0.01,0,5,0.0159053007837286
0,0.01,0.01,1,0.0173540700973858
0,0.01,0.01,2,0.0167545546167869
0,0.01,0.01,3,0.0172749321999443
0,0.01,0.01,4,0.0176075612353277
0,0.01,0.01,5,0.0177247983580267
0,0.01,0.02,1,0.0174162100090141
0,0.01,0.02,2,0.0172946656824472
0,0.01,0.02,3,0.0182416570177961
0,0.01,0.02,4,0.0177889674031275
0,0.01,0.02,5,0.0175375428941141
0,0.01,0.05,1,0.0184712113748997
0,0.01,0.05,2,0.0183566265543553
0,0.01,0.05,3,0.0186931024524895
0,0.01,0.05,4,0.018836135125471
0,0.01,0.05,5,0.0179743236185856
0,0.01,0.1,1,0.0188493851317466
0,0.01,0.1,2,0.0196018129246038
0,0.01,0.1,3,0.0194653891291697
0,0.01,0.1,4,0.0201703270670072
0,0.01,0.1,5,0.0195321662951834
0,0.01,0.2,1,0.0208172611492502
0,0.01,0.2,2,0.0204984601791418
0,0.01,0.2,3,0.0215502400769183
0,0.01,0.2,4,0.0214025596799446
0,0.01,0.2,5,0.0207973020453829
0,0.01,0.5,1,0.0225104178582375
0,0.01,0.5,2,0.0230105339005287
0,0.01,0.5,3,0.022136244227832
0,0.01,0.5,4,0.0224746980684746
0,0.01,0.5,5,0.0224277541559455
0,0.01,1,1,0.0236134211372374
0,0.01,1,2,0.0248604553132155
0,0.01,1,3,0.0230694854380001
0,0.01,1,4,0.0229557245976496
0,0.01,1,5,0.0244438665786678
0,0.01,2,1,0.0242834389397862
0,0.01,2,2,0.0246146856639894
0,0.01,2,3,0.0237820648877462
0,0.01,2,4,0.0239500332234689
0,0.01,2,5,0.0243901946990403
0,0.01,5,1,0.0245363284282185
0,0.01,5,2,0.0255253228286189
0,0.01,5,3,0.0250286334982923
0,0.01,5,4,0.0245314700369517
0,0.01,5,5,0.0244240800381221
0,0.02,0,1,0.0161333106269695
0,0.02,0,2,0.0164904270824824
0,0.02,0,3,0.0164550163880513
0,0.02,0,4,0.0165211362185271
0,0.02,0,5,0.0158890807649022
0,0.02,0.01,1,0.017956716903025
0,0.02,0.01,2,0.0185025953711702
0,0.02,0.01,3,0.0175549529242772
0,0.02,0.01,4,0.0182585356661704
0,0.02,0.01,5,0.0177216108515988
0,0.02,0.02,1,0.0190449046137306
0,0.02,0.02,2,0.0186076827130572
0,0.02,0.02,3,0.0193913177208072
0,0.02,0.02,4,0.0186552715918335
0,0.02,0.02,5,0.0189789813977317
0,0.02,0.05,1,0.019891065169905
0,0.02,0.05,2,0.0201859890258334
0,0.02,0.05,3,0.020491349672332
0,0.02,0.05,4,0.019307735106558
0,0.02,0.05,5,0.0203574836087379
0,0.02,0.1,1,0.0220393493375849
0,0.02,0.1,2,0.0221643369664149
0,0.02,0.1,3,0.0224539500292805
0,0.02,0.1,4,0.0231926194876106
0,0.02,0.1,5,0.0218272048079953
0,0.02,0.2,1,0.0247747301434422
0,0.02,0.2,2,0.0246567595078967
0,0.02,0.2,3,0.0247123037022089
0,0.02,0.2,4,0.025102813492421
0,0.02,0.2,5,0.0253221619323637
0,0.02,0.5,1,0.0283887725017042
0,0.02,0.5,2,0.0277748933349761
0,0.02,0.5,3,0.0279231174370087
0,0.02,0.5,4,0.0287954349557482
0,0.02,0.5,5,0.0282787473402885
0,0.02,1,1,0.0304911333105988
0,0.02,1,2,0.0308626447375749
0,0.02,1,3,0.0307031579601732
0,0.02,1,4,0.0293577167027464
0,0.02,1,5,0.030794312497615
0,0.02,2,1,0.0312028011987159
0,0.02,2,2,0.0319035975540044
0,0.02,2,3,0.0311418353451237
0,0.02,2,4,0.0317367651723005
0,0.02,2,5,0.0307185103153436
0,0.02,5,1,0.033406842947144
0,0.02,5,2,0.0314541596268882
0,0.02,5,3,0.0314514402437331
0,0.02,5,4,0.0317223277110646
0,0.02,5,5,0.0323746075280493
0,0.05,0,1,0.0175008247861361
0,0.05,0,2,0.0172022347820985
0,0.05,0,3,0.0172933237787221
0,0.05,0,4,0.0168649307574433
0,0.05,0,5,0.0170812958262157
0,0.05,0.01,1,0.0201671113064401
0,0.05,0.01,2,0.020866631048523
0,0.05,0.01,3,0.0197363248496261
0,0.05,0.01,4,0.0193328869771834
0,0.05,0.01,5,0.0195108271742125
0,0.05,0.02,1,0.0216689371860078
0,0.05,0.02,2,0.0219069748395843
0,0.05,0.02,3,0.0220191799514134
0,0.05,0.02,4,0.0219319998596947
0,0.05,0.02,5,0.021587017482942
0,0.05,0.05,1,0.0258661132843284
0,0.05,0.05,2,0.0256116316976935
0,0.05,0.05,3,0.0254473465471604
0,0.05,0.05,4,0.0257358109323198
0,0.05,0.05,5,0.0247685686794538
0,0.05,0.1,1,0.0294895415265272
0,0.05,0.1,2,0.0299779184782154
0,0.05,0.1,3,0.0297010875214964
0,0.05,0.1,4,0.0295356349502266
0,0.05,0.1,5,0.0306492122680916
0,0.05,0.2,1,0.0356929472991257
0,0.05,0.2,2,0.0365129212385482
0,0.05,0.2,3,0.034727051253689
0,0.05,0.2,4,0.0365949302178341
0,0.05,0.2,5,0.0355751472927607
0,0.05,0.5,1,0.0419634348910173
0,0.05,0.5,2,0.0434072846167531
0,0.05,0.5,3,0.043716138767807
0,0.05,0.5,4,0.0448581470263457
0,0.05,0.5,5,0.0443127426696512
0,0.05,1,1,0.0479722619600875
0,0.05,1,2,0.0486665420764061
0,0.05,1,3,0.0482388125123882
0,0.05,1,4,0.048418431066015
0,0.05,1,5,0.0492919807163802
0,0.05,2,1,0.0521259003423094
0,0.05,2,2,0.0498141757654025
0,0.05,2,3,0.0527281768384689
0,0.05,2,4,0.0524409169646172
0,0.05,2,5,0.0513050517986325
0,0.05,5,1,0.0525030544575744
0,0.05,5,2,0.0532361357788237
0,0.05,5,3,0.0536856716554978
0,0.05,5,4,0.0518709727584975
0,0.05,5,5,0.0530216096579192
0,0.1,0,1,0.0187274036469186
